,location,bhk,total_sqft,bath,price,encoded_loc
0,Electronic City Phase II,2,1056.0,2.0,39.07,75
1,Chikka Tirupathi,4,2600.0,5.0,120.0,57
2,Uttarahalli,3,1440.0,2.0,62.0,216
3,Lingadheeranahalli,3,1521.0,3.0,95.0,154
4,Kothanur,2,1200.0,2.0,51.0,146
5,Whitefield,2,1170.0,2.0,38.0,224
6,Old Airport Road,4,2732.0,4.0,204.0,176
7,Marathahalli,3,1310.0,3.0,63.25,161
8,Whitefield,3,1800.0,2.0,70.0,224
9,7th Phase JP Nagar,2,1000.0,2.0,38.0,6
10,Gottigere,2,1100.0,2.0,40.0,82
11,Sarjapur,3,2250.0,3.0,148.0,193
12,Mysore Road,2,1175.0,2.0,73.5,166
13,Bisuvanahalli,3,1180.0,3.0,48.0,46
14,Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,184
15,others,2,1100.0,2.0,48.0,230
16,Binny Pete,3,1755.0,3.0,122.0,45
17,Bellandur,3,1767.0,3.0,103.0,40
18,Thanisandra,1,510.0,1.0,25.25,209
19,others,3,1250.0,3.0,56.0,230
20,Electronic City,2,660.0,1.0,23.1,74
21,Whitefield,3,1610.0,3.0,81.0,224
22,Ramagondanahalli,2,1151.0,2.0,48.77,187
23,Electronic City,3,1025.0,2.0,47.0,74
24,Yelahanka,4,2475.0,4.0,186.0,226
25,Bisuvanahalli,3,1075.0,2.0,35.0,46
26,Hebbal,3,1760.0,2.0,123.0,92
27,Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,184
28,Kasturi Nagar,3,1925.0,3.0,125.0,131
29,Kanakpura Road,2,700.0,2.0,36.0,127
30,Electronics City Phase 1,2,1070.0,2.0,45.5,76
31,Kundalahalli,3,1724.0,3.0,125.0,150
32,Chikkalasandra,3,1290.0,2.0,56.12,59
33,Uttarahalli,2,1143.0,2.0,45.0,216
34,Murugeshpalya,2,1296.0,2.0,81.0,165
35,Sarjapur  Road,3,1254.0,3.0,38.0,194
36,others,1,600.0,1.0,38.0,230
37,Yelahanka,1,660.0,1.0,48.0,226
38,Kanakpura Road,2,1330.74,2.0,91.79,127
39,Doddathoguru,2,970.0,2.0,33.0,70
40,Whitefield,2,1459.0,2.0,94.82,224
41,others,2,869.0,2.0,36.0,230
42,others,2,1270.0,2.0,50.0,230
43,Bhoganhalli,3,1670.0,3.0,99.0,43
44,Whitefield,3,2010.0,3.0,91.0,224
45,Lakshminarayana Pura,2,1185.0,2.0,75.0,153
46,Yelahanka,3,1600.0,2.0,75.0,226
47,Begur Road,2,1200.0,2.0,44.0,39
48,Devanahalli,4,3210.0,2.0,192.0,65
49,others,2,840.0,2.0,45.0,230
50,others,3,4395.0,3.0,240.0,230
51,others,2,845.0,2.0,55.0,230
52,Varthur,2,1160.0,2.0,44.0,217
53,Doddathoguru,2,1100.0,2.0,62.0,70
54,Gunjur,2,1140.0,2.0,43.0,85
55,Marathahalli,2,1220.0,2.0,57.0,161
56,Kanakpura Road,2,1005.0,2.0,36.68,127
57,Begur Road,2,1358.0,2.0,80.58,39
58,Hegde Nagar,3,1569.0,3.0,101.0,94
59,Haralur Road,2,1240.0,2.0,70.0,90
60,Hennur Road,3,2089.0,3.0,140.0,96
61,Kothannur,2,1206.0,2.0,48.23,145
62,Kalena Agrahara,2,1150.0,2.0,40.0,121
63,others,3,2511.0,3.0,205.0,230
64,ISRO Layout,6,4400.0,6.0,250.0,106
65,others,3,1660.0,2.0,105.0,230
66,Hennur Road,4,3203.5,2.0,224.5,96
67,Yelahanka,2,1326.0,2.0,78.0,226
68,Garudachar Palya,3,1325.0,2.0,60.8,79
69,Hegde Nagar,6,3000.0,7.0,210.0,94
70,Kanakpura Road,3,1665.0,3.0,88.0,127
71,Dasanapura,2,708.0,2.0,37.0,63
72,Kasavanhalli,2,1060.0,2.0,58.06,130
73,Sanjay nagar,2,1000.0,2.0,70.0,191
74,others,3,1450.0,2.0,70.0,230
75,Thanisandra,2,1296.0,2.0,80.0,209
76,Domlur,3,1540.0,3.0,90.0,71
77,Sarjapura - Attibele Road,3,1330.0,2.0,48.0,195
78,others,2,1200.0,2.0,65.0,230
79,others,3,1200.0,3.0,90.0,230
80,Yeshwanthpur,3,2502.0,3.0,138.0,229
81,Kothanur,3,2400.0,2.0,150.0,146
82,others,2,1007.0,2.0,43.0,230
83,others,2,1200.0,2.0,50.0,230
84,others,2,966.0,2.0,49.9,230
85,Nagarbhavi,3,1630.0,2.0,98.0,169
86,others,2,782.0,2.0,55.68,230
87,Devanahalli,2,1260.0,2.0,66.78,65
88,others,3,1800.0,3.0,120.0,230
89,others,3,1413.0,2.0,75.0,230
90,Whitefield,2,1116.0,2.0,51.91,224
91,Electronic City,3,1530.0,2.0,45.9,74
92,Ramamurthy Nagar,4,3700.0,4.0,225.0,188
93,Sarjapur  Road,3,2497.0,3.0,140.0,194
94,Kengeri,3,1540.0,2.0,64.0,135
95,Thanisandra,3,1436.0,3.0,74.75,209
96,Malleshwaram,2,1100.0,2.0,75.0,160
97,Shampura,4,2650.0,4.0,150.0,199
98,Devanahalli,3,1282.0,2.0,68.52,65
99,Kadugodi,2,1050.0,2.0,34.0,117
100,LB Shastri Nagar,3,1600.0,3.0,65.0,151
101,others,2,945.0,2.0,54.0,230
102,Hormavu,2,1500.0,2.0,78.0,100
103,others,3,1870.0,3.0,110.0,230
104,Sarjapur,3,1600.0,3.0,75.0,193
105,Kudlu Gate,3,1535.0,3.0,83.0,148
106,Kanakpura Road,2,950.0,2.0,57.0,127
107,Devanahalli,2,1360.0,2.0,65.0,65
108,8th Phase JP Nagar,2,1073.5,2.0,54.005,7
109,Bommasandra Industrial Area,3,1280.0,3.0,50.4,49
110,others,3,1260.0,2.0,85.05,230
111,Yelahanka,5,3050.0,5.0,213.0,226
112,Kasavanhalli,3,1563.05,3.0,105.0,130
113,ISRO Layout,2,1000.0,2.0,60.0,106
114,Anandapura,2,1167.0,2.0,43.76,15
115,Kothanur,3,1828.0,3.0,110.0,146
116,Kengeri Satellite Town,2,890.0,2.0,35.0,136
117,Mysore Road,3,1710.0,4.0,91.31,166
118,Kannamangala,2,957.0,2.0,58.0,128
119,Devarachikkanahalli,3,1250.0,2.0,44.0,66
120,Hulimavu,2,1125.0,2.0,50.0,105
121,Electronic City Phase II,2,1020.0,2.0,30.6,75
122,Kalena Agrahara,2,1200.0,2.0,50.0,121
123,Thanisandra,3,1735.0,3.0,135.0,209
124,Thanisandra,3,2050.0,3.0,145.0,209
125,others,3,1350.0,2.0,48.0,230
126,Hosa Road,2,1063.0,2.0,32.0,101
127,others,3,1904.0,3.0,150.0,230
128,Sarjapur,2,1242.5,2.0,43.49,193
129,others,3,1425.0,2.0,75.0,230
130,Electronic City,3,1500.0,2.0,64.5,74
131,Electronic City,2,1060.0,2.0,60.0,74
132,others,3,1470.0,2.0,70.0,230
133,Electronic City,2,1152.0,2.0,64.5,74
134,Electronic City,3,1350.0,2.0,56.0,74
135,CV Raman Nagar,3,1550.0,3.0,65.0,53
136,others,3,1500.0,3.0,100.0,230
137,Nagavara,1,400.0,1.0,14.0,171
138,Electronic City,2,770.0,1.0,36.0,74
139,Hulimavu,2,1242.0,2.0,51.0,105
140,Thanisandra,3,2144.0,3.0,145.0,209
141,Vijayanagar,3,1704.0,3.0,110.0,220
142,Electronic City,2,1070.0,2.0,52.0,74
143,others,2,1340.0,2.0,55.7,230
144,Electronic City,2,1025.0,2.0,46.0,74
145,KR Puram,2,1277.5,2.0,56.8,115
146,Marathahalli,2,1200.0,2.0,52.0,161
147,Kanakpura Road,4,2250.0,4.0,110.0,127
148,others,3,1550.0,2.0,80.0,230
149,Marathahalli,2,1200.0,2.0,60.0,161
150,Yelahanka,2,1327.0,2.0,98.0,226
151,Kothanur,2,1186.0,2.0,58.0,146
152,others,3,1783.0,3.0,115.0,230
153,HSR Layout,3,1400.0,3.0,56.0,89
154,Nagasandra,2,980.0,2.0,48.0,170
155,EPIP Zone,2,1285.0,2.0,82.0,73
156,others,3,912.0,2.0,70.0,230
157,Whitefield,2,1225.0,2.0,47.6,224
158,Whitefield,2,1075.0,2.0,53.0,224
159,Kadugodi,3,1260.0,2.0,54.0,117
160,Yelahanka,3,1282.0,2.0,48.7,226
161,Kogilu,3,1909.0,3.0,88.0,142
162,Panathur,2,1359.0,2.0,87.0,180
163,others,2,1207.0,2.0,43.5,230
164,Kammasandra,3,1595.0,3.0,65.0,125
165,others,3,1798.0,3.0,89.0,230
166,Electronics City Phase 1,3,1475.0,3.0,78.29,76
167,others,3,1580.0,3.0,100.0,230
168,Dasarahalli,2,1295.0,2.0,65.0,64
169,Magadi Road,6,3600.0,6.0,141.0,155
170,Electronic City,1,589.0,1.0,27.0,74
171,others,3,1415.0,3.0,78.0,230
172,Sarjapur  Road,3,1787.0,3.0,98.29,194
173,Sarjapur  Road,3,1787.0,3.0,125.0,194
174,Koramangala,3,1475.0,2.0,90.0,144
175,others,4,2000.0,4.0,75.5,230
176,Sarjapur  Road,2,984.0,2.0,44.28,194
177,Devanahalli,3,1630.0,2.0,74.82,65
178,7th Phase JP Nagar,2,1080.0,2.0,72.0,6
179,others,2,1500.0,2.0,115.0,230
180,Hebbal,3,1900.0,3.0,119.0,92
181,Budigere,2,1153.0,2.0,56.4,52
182,others,2,1148.0,2.0,60.0,230
183,others,2,1110.0,2.0,55.0,230
184,Electronic City,2,1100.0,2.0,42.0,74
185,others,3,1500.0,2.0,65.0,230
186,others,2,1080.0,2.0,39.0,230
187,Vijayanagar,3,1933.0,3.0,129.0,220
188,Ramamurthy Nagar,5,3500.0,5.0,150.0,188
189,others,2,1060.0,2.0,60.0,230
190,others,3,1644.0,3.0,84.0,230
191,others,2,1285.0,2.0,72.5,230
192,Electronic City,3,1200.0,3.0,90.0,74
193,Electronic City,2,910.0,2.0,40.0,74
194,Kothanur,3,1577.0,3.0,70.0,146
